PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/22/2025,03:06.6,1,1,"Zeldin, Brian",,Right,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,0,0,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.20279,-1.019262,-2.197223,14.138005,42.706335,7:30,5.691101,1.416276,6.162062,-19.412108,12.857491,19.998884,3.131897,1.052353,83.062734,-4.741711,1.650154,0.408854,,,,,,,,,,,,-10.40427,8.71849,-1.259034,50,5.604946,4.588407,-135.391736,-2.998788,-21.362309,37.082048,-18.686196,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,26d33b05-9f94-393c-b8d9-4b0b4755e818,91.856579,,,10.101758,3.140919,3.272802,-1.00493,,,,vg9lknmq,2/22/2025,03:06.6,2025-02-22T14:03:06.5711791-05:00,2025-02-22T19:03:06.5711791Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,0b869415-082c-4da4-a742-a683d42d900e,54.133629,-136.51919,18.541024,5.687485,-2.430647,-9.343098,-1.408415,5.237913,-10.681154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.011898,,1.76573,,,,,-3.668826,5.487613,0.417969,,,,-198.689137,103.70728,-6.44987,-92.647345,78.993448,-15.573241,-6.227923,3.598528,-0.249411,,,,,,,,
2,2/22/2025,03:24.7,1,2,"Zeldin, Brian",,Right,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,1,0,Sinker,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,94.045757,-0.153468,-2.785308,131.23624,19.219502,6:45,5.832595,1.204952,6.233731,-19.282278,12.73595,18.995331,4.084183,0.216601,82.810537,-3.878424,0.888401,0.407259,,,,,,,,,,,,-10.219594,8.379142,-1.006057,50,5.812361,6.065678,-136.503929,-0.950093,-21.066653,40.680572,-19.265026,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,6063b02d-224c-3c06-9d0b-cf160c3387ff,92.335221,,,11.207854,2.634464,4.165741,-0.198789,,,,vg9lknmq,2/22/2025,03:24.7,2025-02-22T14:03:24.7477165-05:00,2025-02-22T19:03:24.7477165Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,35ce0180-74f7-4394-9b1f-c3dacd91592a,54.133395,-137.730244,20.340286,5.832248,-0.369349,-9.632513,-1.198479,6.700732,-10.533326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.756128,,1.629872,,,,,-2.120372,5.460041,1.103307,,,,-210.411833,118.849819,-8.149741,-76.494371,70.517767,-14.867687,0.285808,-0.350513,0.369056,,,,,,,,
3,2/22/2025,03:41.7,1,3,"Zeldin, Brian",,Right,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,2,0,Cutter,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,85.101719,-1.109105,-3.030594,2317.255058,161.25262,11:30,5.678892,2.210408,6.300992,-30.281279,7.078995,3.334122,2.13357,-0.306275,79.071701,-6.782522,-2.403072,0.439923,71.528413,13.543728,-173.577805,336.975172,-109.280423,6.391589,-12.538367,135.013305,19.603275,-173.450918,1.537476,-2.233872,6.180927,-1.989687,50,5.583067,6.463345,-123.884677,-3.268806,-4.02003,21.703233,-25.642312,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,81d41c0a-dd54-32c2-a4ae-e1e05019a8ae,85.579224,10.620696,0.219669,6.02233,2.219998,2.228574,0.272463,2.2505,2.207744,0.298994,vg9lknmq,2/22/2025,03:41.8,2025-02-22T14:03:41.7511281-05:00,2025-02-22T19:03:41.7511281Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,2afee13c-dd37-4638-acad-44b3f5a1b0e3,54.133303,-124.606683,10.851617,5.677622,-2.415759,-12.821156,-2.206929,6.59708,-2.010015,187.106726,47.542755,-106.986585,0.916309,17.575892,-20.030833,12.670803,-4.628254,0.898149,-0.070263,-11.150781,34.982406,-0.168395,-33.641982,35.468134,-21.251348,7.232138,-1.25287,0.079395,5.512194,-12.314302,0.105468,2.023009,-2.305576,1.458427,-0.532718,0.103378,-0.008087,49.851179,,2.352895,,,,,-2.930736,5.698125,0.814855,,,,-241.914981,99.220325,-4.887309,-140.106052,91.676173,-14.132446,10.543527,-5.424393,0.694973,,,,,,,,
4,2/22/2025,04:07.5,1,4,"Zeldin, Brian",,Right,UGA_BUL,"Nowak, Luke",,Left,UIC_FLA,Windup,1,Top,0,2,1,Sinker,Undefined,InPlay,Undefined,GroundBall,Single,0,0,ReportType:HE|Version:1|Revision:0,92.134026,-2.533586,-2.85324,2814.056997,159.863428,11:15,5.954103,1.398075,6.230942,-18.148797,13.757634,17.529686,2.103014,0.224656,85.370688,-5.933488,0.45059,0.406547,99.703205,5.085863,-18.940153,1954.925583,101.65195,1.462482,-42.045597,120.779701,120.167898,-22.863119,0.964966,-8.98626,9.310122,-1.193654,50,5.756345,6.136407,-134.028217,-6.499535,-18.935166,25.259615,-17.147333,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,847e42f5-8d9d-34f2-9c05-27048a762fc8,92.486455,4.640955,0.959391,6.745876,3.61852,2.328849,-0.210316,0.617106,1.973904,-0.032232,vg9lknmq,2/22/2025,04:07.5,2025-02-22T14:04:07.5139013-05:00,2025-02-22T19:04:07.5139013Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,7182f2b3-bb1c-476b-a6fc-12a2eb425330,54.133055,-134.804902,12.629808,5.948087,-5.972287,-8.573667,-1.391288,6.718627,-9.467583,105.451208,-54.63688,125.176613,94.138401,-275.964786,381.338339,-316.132305,155.419592,-41.319839,4.507655,-4.758047,8.195731,66.024783,-188.560773,248.910695,-195.498897,88.900917,-20.894497,1.826063,18.332801,-47.216002,22.201922,-70.388871,106.582637,-96.596337,52.826091,-16.055559,2.083477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2/22/2025,05:08.9,2,1,"Zeldin, Brian",,Right,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,81.880032,0.505996,-2.007864,2357.717161,43.469966,7:30,5.420862,1.763001,5.994893,-43.862536,-2.811343,2.46208,2.234669,0.106979,74.835282,-7.798729,-1.539276,0.461142,,,,,,,,,,,,-1.71189,1.279699,-1.606205,50,5.440269,4.108443,-119.093277,-0.136809,-2.783632,24.356462,-34.595396,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,c3c716cb-5921-30fa-8366-50e821550f86,81.194729,,,6.992544,2.986061,2.445785,-0.14938,,,,vg9lknmq,2/22/2025,05:08.9,2025-02-22T14:05:08.8730046-05:00,2025-02-22T19:05:08.8730046Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,79d3eabf-dcb8-4ade-858a-f372da4855eb,54.134073,-119.935781,12.178231,5.424305,1.059865,-17.297698,-1.749984,4.204731,-1.391816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.944837,,1.425493,,,,,-2.968028,4.906285,1.649047,,,,-196.58124,117.134148,-7.691355,-59.523508,56.464091,-11.82713,16.163088,-11.392712,1.960971,,,,,,,,
6,2/22/2025,05:28.2,2,2,"Zeldin, Brian",,Right,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,0,1,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,82.105456,0.543053,-2.079067,2430.328993,55.118371,7:45,5.569841,1.720967,6.166309,-46.955297,-6.089017,-5.091014,2.158521,-0.624311,75.125194,-8.337965,-3.047651,0.460102,,,,,,,,,,,,1.903595,-0.330466,-1.561265,50,5.589004,4.474148,-119.438274,-0.142344,3.106135,24.843099,-37.206713,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,9366b910-1346-32f3-ba20-a85fedc3954e,81.629971,,,6.951932,3.441642,2.4488,0.517218,,,,vg9lknmq,2/22/2025,05:28.1,2025-02-22T14:05:28.1572309-05:00,2025-02-22T19:05:28.1572309Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,6ebacd05-4bb5-43be-bc57-0a1142531cc8,54.134313,-120.295135,12.421549,5.571783,1.14095,-18.603357,-1.713735,4.367014,1.553067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.474739,,1.721331,,,,,-3.105005,4.892643,1.597715,,,,-235.818541,125.209291,-8.494456,-91.659783,77.182254,-15.091568,2.589205,-0.905875,0.206911,,,,,,,,
7,2/22/2025,05:49.3,2,3,"Zeldin, Brian",,Right,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,0,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,82.939912,0.042371,-2.964194,2356.942851,36.320541,7:15,5.507684,1.339884,6.154568,-46.853886,-6.207502,-14.777884,1.642394,-2.632402,75.140933,-8.841071,-5.785762,0.458862,,,,,,,,,,,,6.263157,-0.311937,-1.10806,50,5.489302,6.637248,-120.458596,-1.178242,10.220631,28.529291,-37.109276,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,c01fcd26-b437-3649-a0f6-a845ee0b2268,81.833627,,,7.765617,3.362181,1.940074,2.437249,,,,vg9lknmq,2/22/2025,05:49.3,2025-02-22T14:05:49.2767571-05:00,2025-02-22T19:05:49.2767571Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,7ca6df7f-f209-44f2-99ff-fc3bc4805c69,54.133191,-121.433551,14.264645,5.507898,0.089925,-18.554638,-1.328912,6.287969,5.110316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.722569,,1.701978,,,,,-2.251534,4.440593,4.290011,,,,-222.122452,118.707299,-7.846308,-85.262175,74.248692,-15.149553,18.630314,-9.072245,1.127242,,,,,,,,
8,2/22/2025,06:12.4,2,4,"Zeldin, Brian",,Right,UGA_BUL,"Bessette, Jackson",,Right,UIC_FLA,Stretch,1,Top,0,1,2,Sinker,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.250054,-1.074551,-2.425516,2168.165984,229.318539,1:45,5.80676,1.125452,6.158023,-20.345538,12.090006,14.891415,3.118579,0.12446,83.571521,-4.94271,0.413896,0.409904,,,,,,,,,,,,-7.839131,8.311821,-0.948476,50,5.715764,5.228178,-134.132511,-3.137408,-16.113573,31.697889,-19.576083,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,e4afb65d-0df8-35b5-8365-b325d35b2dc3,91.610877,,,8.6448,1.791522,3.150989,-0.121821,,,,vg9lknmq,2/22/2025,06:12.4,2025-02-22T14:06:12.4297276-05:00,2025-02-22T19:06:12.4297276Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,5f032012-32a2-454c-877b-86994ba06aaf,54.132934,-135.105666,15.848944,5.80286,-2.536404,-9.788042,-1.11658,5.72288,-8.056787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.417009,,3.056765,,,,,0.343298,6.418935,2.123728,,,,-387.492678,139.485346,-7.964293,-191.056558,109.354062,-15.112493,21.19686,-8.649528,0.907979,,,,,,,,
9,2/22/2025,07:06.3,3,1,"Zeldin, Brian",,Right,UGA_BUL,"Flanagan, Will",,Left,UIC_FLA,Stretch,1,Top,1,0,0,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.693778,0.014329,-2.320694,261.884842,171.134575,11:45,5.750297,1.279904,6.147812,-46.918364,-3.541225,-5.267137,1.853734,-1.304366,73.044566,-8.843474,-3.322351,0.474026,,,,,,,,,,,,1.926533,1.209654,-1.101069,50,5.729484,4.836395,-115.915521,-1.207395,2.961176,23.341047,-34.806612,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,3f0cd531-ac02-3db8-9f8e-b2a8793de659,79.203919,,,6.619492,3.538293,2.176869,1.181993,,,,vg9lknmq,2/22/2025,07:06.3,2025-02-22T14:07:06.2798553-05:00,2025-02-22T19:07:06.2798553Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,1befceae-ee8c-4e92-9b70-a19aaf3c693a,54.132995,-116.744786,11.670524,5.750413,0.02922,-17.403306,-1.271028,4.73119,1.480588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.784361,,1.439875,,,,,-3.951514,5.346143,1.313228,,,,-190.240435,111.125608,-7.205547,-57.910919,55.822287,-11.897628,4.41648,-1.143241,-0.249852,,,,,,,,
10,2/22/2025,07:45.2,3,2,"Zeldin, Brian",,Right,UGA_BUL,"Flanagan, Will",,Left,UIC_FLA,Stretch,1,Top,1,1,0,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGA_BUL,UIC_FLA,Truist Park,College,CBB,vg9lknmq,b553cdd0-ba4e-4799-b7e1-7efe2f2c26df,,,,,,,,,,,vg9lknmq,2/22/2025,07:45.2,2025-02-22T14:07:45.1900000-05:00,2025-02-22T19:07:45.1900000Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,b553cdd0-ba4e-4799-b7e1-7efe2f2c26df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
